system:index,dNBR,severity,.geo
0,0.0994097888469696,0,"{""type"":""Point"",""coordinates"":[150.36731248494573,-33.58658520743205]}"
1,0.038286417722702,0,"{""type"":""Point"",""coordinates"":[150.3905354161507,-33.700812743558856]}"
2,0.0687703043222427,0,"{""type"":""Point"",""coordinates"":[150.2107125560294,-33.820260960667255]}"
3,0.3055844008922577,1,"{""type"":""Point"",""coordinates"":[150.33669142082525,-33.60798551394978]}"
4,0.0361105799674987,0,"{""type"":""Point"",""coordinates"":[150.5101452370834,-33.4096472322818]}"
