,system:index,dNBR,severity
count,2000.0,2000.0,2000.0
mean,999.5,0.07625573820341376,0.0665
std,577.4945887192364,0.10296304866233603,0.24921638068594676
min,0.0,-0.2281200885772705,0.0
25%,499.75,0.0087907910346984,0.0
50%,999.5,0.04155454039573665,0.0
75%,1499.25,0.13277788460254664,0.0
max,1999.0,0.4132144451141357,1.0
