system:index,dNBR,severity,.geo
60,-0.0024633407592773438,0,"{""type"":""Point"",""coordinates"":[150.46742798282142,-33.74471516172196]}"
61,0.25936323404312134,0,"{""type"":""Point"",""coordinates"":[150.41282868480027,-33.82552823170402]}"
62,0.025642454624176025,0,"{""type"":""Point"",""coordinates"":[150.44915552083486,-33.76631335327769]}"
63,0.3506312668323517,1,"{""type"":""Point"",""coordinates"":[150.36481966192372,-33.63040063703661]}"
64,0.022332683205604553,0,"{""type"":""Point"",""coordinates"":[150.53656317856817,-33.831403954436844]}"
65,0.2029324322938919,0,"{""type"":""Point"",""coordinates"":[150.37583283328684,-33.53904428512067]}"
66,0.15800252556800842,0,"{""type"":""Point"",""coordinates"":[150.36337378764028,-33.5808121749732]}"
67,0.04186655580997467,0,"{""type"":""Point"",""coordinates"":[150.63226021736335,-33.76905525025043]}"
68,0.004697591066360474,0,"{""type"":""Point"",""coordinates"":[150.5658614399236,-33.76036647380926]}"
69,0.0029143095016479492,0,"{""type"":""Point"",""coordinates"":[150.5167310115404,-33.81649351494799]}"
70,0.14341546595096588,0,"{""type"":""Point"",""coordinates"":[150.3210669154818,-33.62459566584835]}"
71,0.037227362394332886,0,"{""type"":""Point"",""coordinates"":[150.50657504664915,-33.79297655620874]}"
72,0.32403820753097534,1,"{""type"":""Point"",""coordinates"":[150.43907612324986,-33.794156627503455]}"
73,0.010839417576789856,0,"{""type"":""Point"",""coordinates"":[150.57743676310898,-33.85465353075297]}"
74,-0.0010935068130493164,0,"{""type"":""Point"",""coordinates"":[150.45715642227486,-33.6745845707697]}"
75,0.08605620265007019,0,"{""type"":""Point"",""coordinates"":[150.36504935188154,-33.585136166012944]}"
76,-0.038891397416591644,0,"{""type"":""Point"",""coordinates"":[150.3196595773808,-33.71253582158693]}"
77,-0.02137213945388794,0,"{""type"":""Point"",""coordinates"":[150.51996099165558,-33.854521547004225]}"
78,0.3622859716415405,1,"{""type"":""Point"",""coordinates"":[150.42148782780174,-33.62012875673769]}"
79,0.027855053544044495,0,"{""type"":""Point"",""coordinates"":[150.5384017352441,-33.75669615107818]}"
80,-0.2022629976272583,0,"{""type"":""Point"",""coordinates"":[150.20361014947161,-33.74311611791232]}"
81,1.261383295059204E-4,0,"{""type"":""Point"",""coordinates"":[150.29913554532064,-33.82075338379686]}"
82,0.07059331238269806,0,"{""type"":""Point"",""coordinates"":[150.48601876235486,-33.58249356903801]}"
83,0.08082516491413116,0,"{""type"":""Point"",""coordinates"":[150.2955597035634,-33.57698733682836]}"
84,0.006773501634597778,0,"{""type"":""Point"",""coordinates"":[150.5124551396655,-33.62894952735416]}"
85,0.06606122851371765,0,"{""type"":""Point"",""coordinates"":[150.20808581887735,-33.78209117227445]}"
86,0.023949086666107178,0,"{""type"":""Point"",""coordinates"":[150.334342479031,-33.79118074261023]}"
87,0.01720862090587616,0,"{""type"":""Point"",""coordinates"":[150.58925602003725,-33.64025847252884]}"
88,-0.05508270859718323,0,"{""type"":""Point"",""coordinates"":[150.64661840817192,-33.68938400964384]}"
89,0.29518696665763855,1,"{""type"":""Point"",""coordinates"":[150.4281970092503,-33.80897621598532]}"
90,0.19945093989372253,0,"{""type"":""Point"",""coordinates"":[150.29299753681394,-33.62426218288268]}"
91,0.1005481630563736,0,"{""type"":""Point"",""coordinates"":[150.452974831296,-33.643010590386126]}"
92,-0.002997159957885742,0,"{""type"":""Point"",""coordinates"":[150.181607592555,-33.722337436282636]}"
93,0.01710188388824463,0,"{""type"":""Point"",""coordinates"":[150.5141966309727,-33.7742958869578]}"
94,0.033094026148319244,0,"{""type"":""Point"",""coordinates"":[150.2422875027551,-33.67990386220205]}"
95,-0.009184777736663818,0,"{""type"":""Point"",""coordinates"":[150.5735967359133,-33.85760735034844]}"
96,0.02967733144760132,0,"{""type"":""Point"",""coordinates"":[150.49859123103508,-33.84684154081112]}"
97,-0.02435016632080078,0,"{""type"":""Point"",""coordinates"":[150.35005937914065,-33.65385812045979]}"
98,0.12337305396795273,0,"{""type"":""Point"",""coordinates"":[150.51991212150725,-33.87486207056839]}"
99,0.015476524829864502,0,"{""type"":""Point"",""coordinates"":[150.6158892444534,-33.688858055696336]}"
100,0.043799951672554016,0,"{""type"":""Point"",""coordinates"":[150.5051695632229,-33.71301064807325]}"
101,0.019840478897094727,0,"{""type"":""Point"",""coordinates"":[150.47038751380998,-33.71134249845145]}"
102,0.2909204363822937,1,"{""type"":""Point"",""coordinates"":[150.47628841955014,-33.817038607470494]}"
103,-0.05809645354747772,0,"{""type"":""Point"",""coordinates"":[150.2255568645783,-33.7856959614075]}"
104,0.23494362831115723,0,"{""type"":""Point"",""coordinates"":[150.35466279800946,-33.61311006601917]}"
105,0.1470566689968109,0,"{""type"":""Point"",""coordinates"":[150.28554978910182,-33.61355816144234]}"
106,0.017129182815551758,0,"{""type"":""Point"",""coordinates"":[150.5360028040759,-33.81391145361717]}"
107,0.06708956509828568,0,"{""type"":""Point"",""coordinates"":[150.48714439857207,-33.621788123257936]}"
108,0.3090194761753082,1,"{""type"":""Point"",""coordinates"":[150.3128047763796,-33.60675174502609]}"
109,0.24541716277599335,0,"{""type"":""Point"",""coordinates"":[150.2751457670282,-33.82230456374471]}"
110,0.3077344596385956,1,"{""type"":""Point"",""coordinates"":[150.47205707900233,-33.58826129170124]}"
111,-0.017442524433135986,0,"{""type"":""Point"",""coordinates"":[150.61640951886432,-33.74410528464428]}"
